BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8
453.65031996049254,533.535033821084,561.0245598843924,492.91986660935214,392.3964832836837,452.0991033886799,387.94045206142357,359.47293941783096
453.4714842975697,532.4737502510467,561.835823461834,494.9553930794475,392.6992748512928,453.0091687151498,389.8914551838899,357.4406452058617
452.84992248891416,532.3979075042896,562.8729407825945,496.78138790353137,392.6551599271355,454.30332607104265,391.7198863682574,356.50909376892577
451.87211266773267,532.6572111502478,564.8965323711665,497.5599572945382,392.02332059120477,455.8758174579381,393.92079587458755,355.9415707716505
449.76928700649097,534.3571444220197,567.3607049085033,497.6889940003309,390.17588413984197,458.67827614737575,396.6277222467297,355.87837594819854
446.4453274116842,537.1568477674787,570.9481725798903,496.75331667373075,387.0426739158071,462.0944396785492,399.65661392302525,357.7839602902829
442.23526447573977,541.5416647269658,575.5524082676,494.6702707956024,382.83645483027294,466.5553973697369,403.1149237147098,360.73611733549177
436.7160473251131,546.1177612698433,580.3781115268084,491.92152487548435,377.5317890555925,471.78927024228454,406.8895228164837,364.3003332589406
430.59137794189996,551.6874169863414,586.214067661349,488.7585265856225,371.55056248804635,477.3972380120707,411.4069408167202,368.60688239776425
424.3495887672426,557.8171688167527,592.588251214957,486.0490941439381,365.78648535611444,483.8441756888891,416.73273333489175,373.6926053315902
417.9119186250516,564.2062487275073,599.1384810787365,483.7797373911801,359.7012289625759,490.488488886606,422.38472989105077,379.20876314292366
411.6337000099875,570.3254240599357,605.7252659278547,481.57617856019067,354.1007570931998,496.75809973055743,427.61903626847254,384.56826626624303
405.53576915813846,576.0276136796754,611.8495061476476,479.87897584966913,348.9984709955417,502.97532040644376,433.4039764720152,390.0524838327849
399.7216435091004,582.1472337675366,617.8608772108814,478.03728622302043,343.786634327138,509.2590339634728,438.72108381264457,395.92481650378005
394.03835641271246,587.9836042417198,623.6867421678403,475.82810358522954,338.9351449951195,515.1355476206525,443.84364306078226,401.32737100255764
389.18286994939143,593.7569094413493,628.5873437162812,473.1801777749424,334.7455068259396,519.821432340412,447.8928333701492,407.1155677914062
385.57385600720283,598.9125308671767,632.3073521702078,469.30756733195153,331.09299524173304,523.9256154720839,450.3602658321462,412.1157772033131
383.35125552359966,602.8925471282053,633.9647099791996,464.441745787723,328.110234219125,525.6115388019066,451.02510996385405,416.50871165323895
383.0904509946946,606.7034626042193,635.0822938328299,459.3077709763469,327.0016369498405,527.1655572956747,451.26928530069375,420.4589055730049
381.7273875828648,610.8654106913123,636.7456415136315,453.96931144570567,326.3514071044928,528.8898067711075,452.0133728277549,424.8746671008299
379.85263824500817,615.7946443095691,639.910970780247,449.50866677984766,326.4073047834031,532.1081118849404,454.31842337838066,430.1482554945786
376.79566130670014,621.2125316293639,644.1466463253446,446.80233741821553,326.7403297774108,537.0270483448172,458.33248191423166,435.4156282933758
372.3868213173224,626.2562005325526,649.2493071754933,445.4902220411117,326.91885184257893,541.8658136736128,463.0862440212179,440.0408662584962
367.63920955366376,630.3998800467134,654.745495611138,446.52088794732254,327.5717053406171,547.10627920723,468.55869683355917,444.0646965921394
362.35261837974326,633.316822221926,659.4206125252349,449.62318367349326,327.7109052735227,551.6141271347092,473.63019296248746,446.36576189235393
